id	name.zh-CN	name.en	filename
3113	福建理工大学	Fujian University of Technology	福建理工大学
4053	福建农林大学	Fujian Agriculture and Forestry University	福建农林大学
25829	福建商学院	Fujian Business University	福建商学院
575	福建师范大学	Fujian Normal University	福建师范大学
G83	福建师范大学协和学院		福建师范大学协和学院
14470	福建医科大学	Fujian Medical University	福建医科大学
G84	福建中医药大学		福建中医药大学
585	福州大学	Fuzhou University	福州大学
26288	福州工商学院	Fuzhou Technology and Business University	福州工商学院
26748	福州外语外贸学院	Fuzhou University of International Studies and Trade	福州外语外贸学院
16027	福州职业技术学院	Fuzhou Polytechnic	福州职业技术学院
11348	阜阳师范大学	Fuyang Normal University	阜阳师范大学
574	复旦大学	Fudan University	复旦大学
25776	甘肃农业大学	Gansu Agricultural University	甘肃农业大学
G85	甘肃农业职业技术学院		甘肃农业职业技术学院
25808	甘肃政法大学	Gansu University of Political Science and Law	甘肃政法大学
G86	赣东学院		赣东学院
25820	赣南科技学院	Gannan University of Science and Technology	赣南科技学院
21902	赣南师范大学	Gannan Normal University	赣南师范大学
25799	赣南师范大学科技学院	Science and Technology College Gannan Normal University	赣南师范大学科技学院
13751	赣南医科大学	Gannan Medical University	赣南医科大学
G87	广东白云学院		广东白云学院
7330	广东财经大学	Guangdong University of Finance and Economics	广东财经大学
G88	广东第二师范学院		广东第二师范学院
11347	广东东软学院	Neusoft Institute Guangdong	广东东软学院
624	广东工业大学	Guangdong University of Technology	广东工业大学
8235	广东海洋大学	Guangdong Ocean University	广东海洋大学
2773	广东技术师范大学	Guangdong Polytechnic Normal University	广东技术师范大学
10183	广东金融学院	Guangdong University of Finance	广东金融学院
25867	广东科技学院	Guangdong University of Science and Technology	广东科技学院
26270	广东理工学院	Guangdong Technology College	广东理工学院
G89	广东培正学院		广东培正学院
26273	广东轻工职业技术大学	Guangdong Industry Polytechnic University	广东轻工职业技术大学
6726	广东石油化工学院	Guangdong University of Petrochemical Technology	广东石油化工学院
G90	广东水利电力职业技术学院		广东水利电力职业技术学院
2776	广东外语外贸大学	Guangdong University of Foreign Studies	广东外语外贸大学
G91	广东文艺职业学院		广东文艺职业学院
8295	广东药科大学	Guangdong Pharmaceutical University	广东药科大学
24380	广东医科大学	Guangdong Medical University	广东医科大学
10992	广西财经学院	Guangxi University of Finance and Economics	广西财经学院
26305	广西城市职业大学	Guangxi City Vocational University	广西城市职业大学
G92	广西大学		广西大学
G93	广西交通职业技术学院		广西交通职业技术学院
10268	广西科技大学	Guangxi University of Science and Technology	广西科技大学
26355	广西科技师范学院	Guangxi Science and Technology Normal University	广西科技师范学院
G94	广西民族大学		广西民族大学
26356	广西民族大学相思湖学院	Xiangsihu College of GuangXi Minzu University	广西民族大学相思湖学院
G95	广西民族师范学院		广西民族师范学院
9196	广西师范大学	Guangxi Normal University	广西师范大学
10988	广西外国语学院	Guangxi University of Foreign Languages	广西外国语学院
G96	广西医科大学		广西医科大学
10993	广西职业师范学院	GuangXi Vocational Normal University	广西职业师范学院
G97	广西中医药大学		广西中医药大学
13849	广州城市理工学院	Guangzhou City University of Technology	广州城市理工学院
2772	广州大学	Guangzhou University	广州大学
26617	广州工商学院	Guangzhou College of Technology and Business	广州工商学院
26304	广州航海学院	Guangzhou Maritime University	广州航海学院
23457	广州华立学院	Guangzhou Huali College	广州华立学院
25795	广州华商学院	Guangzhou Huashang College	广州华商学院
G98	广州华夏职业学院		广州华夏职业学院
26302	广州理工学院	Guangzhou Institute of Science and Technology	广州理工学院
G99	广州美术学院		广州美术学院
G100	广州南方学院		广州南方学院
26604	广州软件学院	Guangzhou University of Software	广州软件学院
26262	广州商学院	Guangzhou College of Commerce	广州商学院
G101	广州铁路职业技术学院		广州铁路职业技术学院
G102	广州医科大学		广州医科大学
10078	广州中医药大学	Guangzhou University of Chinese Medicine	广州中医药大学
26366	贵阳人文科技学院	Guiyang Institute of Humanities and Technology	贵阳人文科技学院
10282	贵阳学院	Guiyang University	贵阳学院
25897	贵州财经大学	GuiZhou University of Finance and Economics	贵州财经大学
4593	贵州大学	Guizhou University	贵州大学
8683	贵州工程应用技术学院	Guizhou University of Engineering Science	贵州工程应用技术学院
10094	贵州民族大学	Guizhou Minzu University	贵州民族大学
10089	贵州商学院	Guizhou University of Commerce	贵州商学院
8677	贵州师范大学	Guizhou Normal University	贵州师范大学
7758	贵州师范学院	Guizhou Education University	贵州师范学院
G103	贵州医科大学		贵州医科大学
10320	贵州职业技术学院	Guizhou Vocational Technology Institute	贵州职业技术学院
4382	桂林电子科技大学	Guilin University of Electronic Technology	桂林电子科技大学
25843	桂林航天工业学院	Guilin University of Aerospace Technology	桂林航天工业学院
8321	桂林理工大学	Guilin University of Technology	桂林理工大学
25872	桂林理工大学南宁分校	Guilin University of Technology at Nanning	桂林理工大学南宁分校
25876	桂林旅游学院	Guilin Tourism University	桂林旅游学院
19860	桂林信息科技学院	Guilin Institute of Information Technology	桂林信息科技学院
G104	桂林医科大学		桂林医科大学
1315	国防科技大学	National University of Defense Technology	国防科技大学
5598	国际关系学院	University of International Relations	国际关系学院
2794	哈尔滨工程大学	Harbin Engineering University	哈尔滨工程大学
639	哈尔滨工业大学	Harbin Institute of Technology	哈尔滨工业大学
G105	哈尔滨工业大学（深圳）		哈尔滨工业大学深圳
G106	哈尔滨工业大学（威海）		哈尔滨工业大学威海
7254	哈尔滨广厦学院	Harbin GuangSha College	哈尔滨广厦学院
2797	哈尔滨华德学院	Harbin Huade University	哈尔滨华德学院
G107	哈尔滨建筑科技职业大学		哈尔滨建筑科技职业大学
14574	哈尔滨剑桥学院	Harbin Cambridge University	哈尔滨剑桥学院
2798	哈尔滨理工大学	Harbin University of Science and Technology	哈尔滨理工大学
2823	哈尔滨商业大学	Harbin University of Commerce	哈尔滨商业大学
2824	哈尔滨师范大学	Harbin Normal University	哈尔滨师范大学
G108	哈尔滨体育学院		哈尔滨体育学院
12792	哈尔滨信息工程学院	Harbin Institute of Information Technology	哈尔滨信息工程学院
2903	哈尔滨学院	Harbin University	哈尔滨学院
G109	哈尔滨医科大学		哈尔滨医科大学
6720	海南大学	Hainan University	海南大学
G110	海南经贸职业大学		海南经贸职业大学
9285	海南热带海洋学院	Hainan Tropical Ocean University	海南热带海洋学院
11411	海南师范大学	Hainan Normal University	海南师范大学
G111	海南医科大学		海南医科大学
G112	邯郸学院		邯郸学院
6731	韩山师范学院	Hanshan Normal University	韩山师范学院
25794	汉江师范学院	Hanjiang Normal University	汉江师范学院
25299	汉口学院	Hankou University	汉口学院
G10	杭州百腾教育科技有限公司	Hangzhou PAT Education Technology Co., Ltd.	杭州百腾教育科技有限公司
2956	杭州电子科技大学	Hangzhou Dianzi University	杭州电子科技大学
G113	杭州电子科技大学信息工程学院		杭州电子科技大学信息工程学院
G114	杭州科技职业技术学院		杭州科技职业技术学院
3491	杭州师范大学	Hangzhou Normal University	杭州师范大学
G115	杭州学军中学		杭州学军中学
G116	杭州医学院		杭州医学院
3145	合肥大学	Hefei University	合肥大学
646	合肥工业大学	Hefei University of Technology	合肥工业大学
7331	合肥工业大学宣城校区	Hefei University of Technology Xuancheng Campus‌	合肥工业大学宣城校区
4714	合肥师范学院	Hefei Normal University	合肥师范学院
5582	河北北方学院	Hebei North University	河北北方学院
G117	河北传媒学院		河北传媒学院
3143	河北大学	Hebei University	河北大学
14456	河北地质大学	Hebei GEO University	河北地质大学
8304	河北工程大学	Hebei University of Engineering	河北工程大学
23319	河北工程技术学院	Hebei University of Engineering Science	河北工程技术学院
3144	河北工业大学	Hebei University of Technology	河北工业大学
G118	河北环境工程学院		河北环境工程学院
G119	河北建筑工程学院		河北建筑工程学院
26317	河北金融学院	Hebei Finance University	河北金融学院
9772	河北经贸大学	Hebei University of Economics and Business	河北经贸大学
9205	河北科技大学	Hebei University of Science and Technology	河北科技大学
G120	河北科技师范学院		河北科技师范学院
G121	河北美术学院		河北美术学院
G122	河北民族师范学院		河北民族师范学院
G123	河北农业大学		河北农业大学
3116	河北师范大学	Hebei Normal University	河北师范大学
G124	河北水利电力学院		河北水利电力学院
G125	河北体育学院		河北体育学院
G126	河北医科大学		河北医科大学
8763	河池学院	Hechi University	河池学院
3148	河海大学	Hohai University	河海大学
7271	河南财经政法大学	Henan University of Economics and Law	河南财经政法大学
10053	河南财政金融学院	Henan Finance University	河南财政金融学院
7267	河南城建学院	Henan University of Urban Construction	河南城建学院
3076	河南大学	Henan University	河南大学
6210	河南工程学院	Henan University of Engineering	河南工程学院
26351	河南工学院	Henan Institute of Technology	河南工学院
3690	河南工业大学	Henan University of Technology	河南工业大学
G127	河南警察学院		河南警察学院
3687	河南科技大学	Henan University of Science and Technology	河南科技大学
8658	河南科技学院	Henan Institute of Science and Technology	河南科技学院
3146	河南理工大学	Henan Polytechnic University	河南理工大学
9258	河南牧业经济学院	Henan University of Animal Husbandry and Economy	河南牧业经济学院
649	河南农业大学	Henan Agricultural University	河南农业大学
G128	河南省实验中学		河南省实验中学
3366	河南师范大学	Henan Normal University	河南师范大学
G129	河南师范大学附属中学		河南师范大学附属中学
G130	河南医药大学		河南医药大学
G131	河南职业技术学院		河南职业技术学院
G132	河南中医药大学		河南中医药大学
G133	河套学院		河套学院
15268	河西学院	HeXi University	河西学院
10273	菏泽学院	Heze University	菏泽学院
11079	贺州学院	Hezhou University	贺州学院
6211	黑河学院	Heihe University	黑河学院
2900	黑龙江八一农垦大学	Heilongjiang Bayi Agricultural University	黑龙江八一农垦大学
2793	黑龙江大学	Heilongjiang University	黑龙江大学
8314	黑龙江东方学院	East University of Heilongjiang	黑龙江东方学院
2818	黑龙江工程学院	Heilongjiang Institute of Technology	黑龙江工程学院
25596	黑龙江工业学院	HeiLongJiang University of Technology	黑龙江工业学院
G134	黑龙江科技大学		黑龙江科技大学
16026	黑龙江外国语学院	Heilongjiang International University	黑龙江外国语学院
G135	黑龙江中医药大学		黑龙江中医药大学
8725	衡水学院	Hengshui University	衡水学院
3147	衡阳师范学院	Hengyang Normal University	衡阳师范学院
G136	红河学院		红河学院
4609	呼伦贝尔学院	Hulunbuir University	呼伦贝尔学院
3153	湖北大学	Hubei University	湖北大学
9909	湖北第二师范学院	Hubei University of Education	湖北第二师范学院
10129	湖北工程学院	Hubei Engineering University	湖北工程学院
10929	湖北工业大学	Hubei University of Technology	湖北工业大学
14585	湖北工业大学工程技术学院	Hubei University of Technology Engineering and Technology College	湖北工业大学工程技术学院
3154	湖北经济学院	Hubei University of Economics	湖北经济学院
G137	湖北科技学院		湖北科技学院
26726	湖北科技职业学院	Hubei Science and Technology College	湖北科技职业学院
13787	湖北理工学院	Hubei Polytechnic University	湖北理工学院
G138	湖北美术学院		湖北美术学院
5562	湖北民族大学	Hubei Minzu University	湖北民族大学
26294	湖北汽车工业学院	Hubei University of Automotive Technology	湖北汽车工业学院
4721	湖北师范大学	Hubei Normal University	湖北师范大学
G139	湖北文理学院		湖北文理学院
11083	湖北中医药大学	Hubei University of Chinese Medicine	湖北中医药大学
26296	湖南财政经济学院	Hunan University of Finance and Economics	湖南财政经济学院
3156	湖南城市学院	Hunan City University	湖南城市学院
680	湖南大学	Hunan University	湖南大学
15927	湖南第一师范学院	Hunan First Normal University	湖南第一师范学院
3995	湖南工程学院	Hunan Institute of Engineering	湖南工程学院
G140	湖南工商大学		湖南工商大学
6212	湖南工学院	Hunan Institute of Technology	湖南工学院
3163	湖南工业大学	Hunan University of Technology	湖南工业大学
26300	湖南工业大学科技学院	College of Science and Technology HNUT	湖南工业大学科技学院
11001	湖南警察学院	Hunan Police Academy	湖南警察学院
4606	湖南科技大学	Hunan University of Science and Technology	湖南科技大学
3162	湖南科技学院	Hunan University of Science and Engineering	湖南科技学院
5242	湖南科技职业学院	Hunan Vocational College of Science and Technology	湖南科技职业学院
G141	湖南理工大学		湖南理工大学
3159	湖南理工学院	Hunan Institute of Science and Technology	湖南理工学院
3059	湖南农业大学	Hunan Agricultural University	湖南农业大学
5445	湖南农业大学东方科技学院	Orient Science and Technology College of Hunan Agricultural University	湖南农业大学东方科技学院
G142	湖南女子学院		湖南女子学院
8738	湖南人文科技学院	Hunan University of Humanities, Science and Technology	湖南人文科技学院
3160	湖南涉外经济学院	Hunan International Economics University	湖南涉外经济学院
4046	湖南师范大学	Hunan Normal University	湖南师范大学
9555	湖南中医药大学	Hunan University of Chinese Medicine	湖南中医药大学
11117	湖州师范大学	Huzhou Normal University	湖州师范大学
20152	湖州学院	Huzhou College	湖州学院
1346	华北电力大学	North China Electric Power University	华北电力大学
26327	华北电力大学（保定）	North China Electric Power University (Baoding)	华北电力大学保定
6054	华北科技学院	North China Institute of Science and Technology	华北科技学院
9211	华北理工大学	North China University of Science and Technology	华北理工大学
8150	华北水利水电大学	North China University of Water Resources and Electric Power	华北水利水电大学
3111	华东交通大学	East China Jiaotong University	华东交通大学
421	华东理工大学	East China University of Science and Technology	华东理工大学
3108	华东师范大学	East China Normal University	华东师范大学
G143	华东师范大学第二附属中学		华东师范大学第二附属中学
G144	华东师范大学第二附属中学闵行紫竹分校		华东师范大学第二附属中学闵行紫竹分校
7230	华东政法大学	East China University of Political Science and Law	华东政法大学
1740	华南理工大学	South China University of Technology	华南理工大学
1738	华南农业大学	South China Agricultural University	华南农业大学
1739	华南师范大学	South China Normal University	华南师范大学
2977	华侨大学	Huaqiao University	华侨大学
13852	华中科技大学	Huazhong University of Science and Technology	华中科技大学
5385	华中农业大学	Huazhong Agricultural University	华中农业大学
240	华中师范大学	Central China Normal University	华中师范大学
3149	怀化学院	Huaihua University	怀化学院
3150	淮安大学	Huai'an University	淮安大学
26544	淮北理工学院	Huaibei Institute of Technology	淮北理工学院
5248	淮北师范大学	Huaibei Normal University	淮北师范大学
G145	淮南联合大学		淮南联合大学
G146	淮南师范学院		淮南师范学院
5498	淮阴师范学院	Huaiyin Normal University	淮阴师范学院
11149	黄冈师范学院	Huanggang Normal University	黄冈师范学院
G147	黄河交通学院		黄河交通学院
6745	黄淮学院	HuangHuai University	黄淮学院
3151	黄山学院	Huangshan University	黄山学院
6735	惠州学院	Huizhou University	惠州学院
G148	吉利学院		吉利学院
2815	吉林财经大学	JiLin University of Finance and Economics	吉林财经大学
944	吉林大学	Jilin University	吉林大学
G149	吉林工程技术师范学院		吉林工程技术师范学院
5557	吉林工商学院	Jilin Business and Technology College	吉林工商学院
G150	吉林化工大学		吉林化工大学
6764	吉林建筑大学	Jilin Jianzhu University	吉林建筑大学
G151	吉林建筑科技学院		吉林建筑科技学院
2807	吉林农业大学	Jilin Agricultural University	吉林农业大学
2808	吉林师范大学	Jilin Normal University	吉林师范大学
7339	吉林师范大学博达学院	Boda College of Jilin Normal University	吉林师范大学博达学院
G152	吉林体育学院		吉林体育学院
36356	吉林外国语大学	Jilin International Studies University	吉林外国语大学
G153	吉林艺术学院		吉林艺术学院
3171	吉首大学	Jishou University	吉首大学
4064	集美大学	Jimei University	集美大学
21539	集宁师范学院	Jining Normal University	集宁师范学院
5436	济南大学	University of Jinan	济南大学
G154	济南振声学校		济南振声学校
26227	济宁学院	Jining University	济宁学院
22697	济宁医学院	Jining Medical University	济宁医学院
945	暨南大学	Jinan University	暨南大学
2816	佳木斯大学	Jiamusi University	佳木斯大学
15894	嘉兴大学	Jiaxing University	嘉兴大学
G155	嘉兴南湖学院		嘉兴南湖学院
5791	嘉应学院	Jiaying University	嘉应学院
22758	江汉大学	Jianghan University	江汉大学
4130	江南大学	Jiangnan University	江南大学
G156	江苏城市职业学院		江苏城市职业学院
3976	江苏大学	Jiangsu University	江苏大学
14048	江苏大学京江学院	Jiangsu University Jingjiang College	江苏大学京江学院
3563	江苏第二师范学院	Jiangsu Second Normal University	江苏第二师范学院
G157	江苏海事职业技术学院		江苏海事职业技术学院
26272	江苏海洋大学	Jiangsu Ocean University	江苏海洋大学
G158	江苏科技大学		江苏科技大学
6772	江苏理工学院	Jiangsu University of Technology	江苏理工学院
G159	江苏农林职业技术学院		江苏农林职业技术学院
8662	江苏师范大学	Jiangsu Normal University	江苏师范大学
4073	江西财经大学	Jiangxi University of Finance and Economics	江西财经大学
26319	江西服装学院	Jiangxi Institute of Fashion Technology	江西服装学院
13718	江西工程学院	Jiangxi University of Engineering	江西工程学院
25801	江西工程职业学院	Jiangxi Engineering Vocational College	江西工程职业学院
25797	江西工商职业技术学院	Jiangxi Technology Business Polytechnic	江西工商职业技术学院
G160	江西工业工程职业技术学院		江西工业工程职业技术学院
13699	江西警察学院	Jiangxi Police Institute	江西警察学院
G161	江西科技师范大学		江西科技师范大学
G162	江西科技学院		江西科技学院
4039	江西理工大学	Jiangxi University of Science and Technology	江西理工大学
G163	江西理工大学南昌校区		江西理工大学南昌校区
7797	江西农业大学	Jiangxi Agricultural University	江西农业大学
21869	江西农业大学南昌商学院	Nanchang Business College of Jiangxi Agricultural University	江西农业大学南昌商学院
21971	江西软件职业技术大学	Jiangxi University of Software Professional Technology	江西软件职业技术大学
3167	江西师范大学	Jiangxi Normal University	江西师范大学
G164	江西水利电力大学		江西水利电力大学
G165	江西现代职业技术学院		江西现代职业技术学院
21903	江西新能源科技职业学院	Jiangxi New Energy Technology Institute	江西新能源科技职业学院
G166	江西应用科技学院		江西应用科技学院
G167	江西中医药大学		江西中医药大学
G168	焦作市第一中学		焦作市第一中学
G169	金华职业技术大学		金华职业技术大学
4743	金陵科技学院	Jinling Institute of Technology	金陵科技学院
G170	锦州医科大学		锦州医科大学
G171	晋中学院		晋中学院
G172	荆州理工职业学院		荆州理工职业学院
26463	荆州学院	Jingzhou University	荆州学院
10934	井冈山大学	Jinggangshan University	井冈山大学
22165	景德镇陶瓷大学	Jingdezhen Ceramic University	景德镇陶瓷大学
26329	景德镇艺术职业大学	Jingdezhen Vocational University of Art	景德镇艺术职业大学
10192	九江学院	Jiujiang University	九江学院
26713	喀什大学	Kashi University	喀什大学
G173	开封大学		开封大学
25866	凯里学院	Kaili University	凯里学院
7764	昆明理工大学	Kunming University of Science and Technology	昆明理工大学
G174	昆明学院		昆明学院
G175	昆明冶金职业大学		昆明冶金职业大学
20318	昆山杜克大学	Duke Kunshan University	昆山杜克大学
10113	兰州财经大学	Lanzhou University of Finance and Economics	兰州财经大学
25868	兰州城市学院	Lanzhou City University	兰州城市学院
1083	兰州大学	Lanzhou University	兰州大学
G176	兰州工业学院		兰州工业学院
3172	兰州交通大学	Lanzhou Jiaotong University	兰州交通大学
9158	兰州理工大学	Lanzhou University Of Technology	兰州理工大学
G177	兰州文理学院		兰州文理学院
