id	name.zh-CN	name.en
4714	合肥师范学院	Hefei Normal University
5582	河北北方学院	Hebei North University
3143	河北大学	Hebei University
14456	河北地质大学	Hebei GEO University
8304	河北工程大学	Hebei University of Engineering
23319	河北工程技术学院	Hebei University of Engineering Science
3144	河北工业大学	Hebei University of Technology
26317	河北金融学院	Hebei Finance University
9772	河北经贸大学	Hebei University of Economics and Business
9205	河北科技大学	Hebei University of Science and Technology
3116	河北师范大学	Hebei Normal University
8763	河池学院	Hechi University
3148	河海大学	Hohai University
7271	河南财经政法大学	Henan University of Economics and Law
10053	河南财政金融学院	Henan Finance University
7267	河南城建学院	Henan University of Urban Construction
3076	河南大学	Henan University
6210	河南工程学院	Henan University of Engineering
26351	河南工学院	Henan Institute of Technology
3690	河南工业大学	Henan University of Technology
3687	河南科技大学	Henan University of Science and Technology
8658	河南科技学院	Henan Institute of Science and Technology
3146	河南理工大学	Henan Polytechnic University
9258	河南牧业经济学院	Henan University of Animal Husbandry and Economy
649	河南农业大学	Henan Agricultural University
3366	河南师范大学	Henan Normal University
15268	河西学院	HeXi University
10273	菏泽学院	Heze University
11079	贺州学院	Hezhou University
6211	黑河学院	Heihe University
2900	黑龙江八一农垦大学	Heilongjiang Bayi Agricultural University
2793	黑龙江大学	Heilongjiang University
8314	黑龙江东方学院	East University of Heilongjiang
2818	黑龙江工程学院	Heilongjiang Institute of Technology
25596	黑龙江工业学院	HeiLongJiang University of Technology
16026	黑龙江外国语学院	Heilongjiang International University
8725	衡水学院	Hengshui University
3147	衡阳师范学院	Hengyang Normal University
4609	呼伦贝尔学院	Hulunbuir University
3153	湖北大学	Hubei University
9909	湖北第二师范学院	Hubei University of Education
10129	湖北工程学院	Hubei Engineering University
10929	湖北工业大学	Hubei University of Technology
14585	湖北工业大学工程技术学院	Hubei University of Technology Engineering and Technology College
3154	湖北经济学院	Hubei University of Economics
26726	湖北科技职业学院	Hubei Science and Technology College
13787	湖北理工学院	Hubei Polytechnic University
5562	湖北民族大学	Hubei Minzu University
26294	湖北汽车工业学院	Hubei University of Automotive Technology
4721	湖北师范大学	Hubei Normal University
11083	湖北中医药大学	Hubei University of Chinese Medicine
26296	湖南财政经济学院	Hunan University of Finance and Economics
3156	湖南城市学院	Hunan City University
680	湖南大学	Hunan University
15927	湖南第一师范学院	Hunan First Normal University
3995	湖南工程学院	Hunan Institute of Engineering
6212	湖南工学院	Hunan Institute of Technology
3163	湖南工业大学	Hunan University of Technology
26300	湖南工业大学科技学院	College of Science and Technology HNUT
11001	湖南警察学院	Hunan Police Academy
4606	湖南科技大学	Hunan University of Science and Technology
3162	湖南科技学院	Hunan University of Science and Engineering
5242	湖南科技职业学院	Hunan Vocational College of Science and Technology
3159	湖南理工学院	Hunan Institute of Science and Technology
